Secretaria_de_Atencao_Primaria_a_Saude_-_SAPS/MS_,Unnamed:_1,Unnamed:_2,Unnamed:_3,Unnamed:_4,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Unnamed:_9
0,8,4078,1123,8049,1,21268,3,0,812
2,2,74,908,23300,1,22732,3,0,152
2,0,40,286,979,1,229,3,0,813
2,13,165,750,24498,1,26723,3,0,321
4,25,3244,3930,13814,1,18500,3,0,803
1,15,1438,1581,11529,1,8935,3,0,670
1,4,1807,962,16609,1,11699,3,0,1394
4,18,2800,466,18324,1,16183,3,0,181
1,16,706,1798,761,1,29054,3,0,1456
0,12,3941,1373,7075,1,20792,3,0,1361
2,3,273,2914,1509,1,25804,3,0,932
1,4,1893,1751,15194,1,12204,3,0,1162
1,24,1678,2380,7616,1,10995,3,0,1339
1,24,1701,3409,7667,1,24509,3,0,1440
1,16,818,3769,15460,1,30245,3,0,1047
5,23,3531,3834,9241,1,19333,3,0,957
1,1,1545,218,1089,1,31919,3,0,1038
4,10,2269,995,2887,1,25051,3,0,728
1,16,724,2027,11979,1,4216,3,0,1432
1,5,1003,3903,9009,1,6503,3,0,965
4,10,2462,2067,3705,1,14731,3,0,937
1,16,765,2746,12202,1,4402,3,0,860
4,10,2261,973,2500,1,30490,3,0,637
0,6,4217,524,123,1,21974,3,0,1262
2,26,400,2565,17848,1,2376,3,0,586
1,15,1437,1572,16430,1,8933,3,0,0
4,10,2741,3871,15636,1,15782,3,0,1394
0,11,3844,195,6165,1,20125,3,0,1171
1,5,927,2100,14140,1,5866,3,0,871
1,4,1853,1520,23993,1,11947,3,0,1088
0,8,4026,177,6577,1,21061,3,0,959
1,4,2066,3728,9672,1,13047,3,0,1048
5,22,3703,2324,4069,1,19722,3,0,998
1,16,693,1347,13531,1,4115,3,0,553
4,10,2260,971,2853,1,13832,3,0,616
4,10,2150,344,2413,1,22461,3,0,339
4,10,2610,3077,3039,1,15363,3,0,1096
0,12,3997,3296,15376,1,20939,3,0,580
4,10,2406,1690,21537,1,14453,3,0,1544
1,5,830,19,7515,1,4903,3,0,836
